sample_idx,prediction,ground_truth,cycles,inf_us,stack_used_bytes,attack_type
745,1,1,93,1.2917,64,snmpgetattack
746,0,1,102,1.4167,64,snmpgetattack
747,0,1,118,1.6389,64,snmpgetattack
748,0,1,110,1.5278,64,snmpgetattack
749,0,1,109,1.5139,64,guess_passwd
750,0,0,114,1.5833,64,guess_passwd
751,1,0,118,1.6389,64,guess_passwd
752,0,0,108,1.5,64,guess_passwd
753,0,0,131,1.8194,64,guess_passwd
754,0,0,135,1.875,64,guess_passwd
755,0,0,118,1.6389,64,guess_passwd
756,0,0,112,1.5556,64,neptune
757,0,0,113,1.5694,64,neptune
758,0,0,122,1.6944,64,neptune
759,0,0,120,1.6667,64,neptune
760,0,0,121,1.6806,64,neptune
761,0,0,116,1.6111,64,neptune
762,0,1,102,1.4167,64,neptune
763,1,1,103,1.4306,64,normal
764,0,1,98,1.3611,64,normal
765,0,1,115,1.5972,64,normal
766,0,1,113,1.5694,64,normal
767,0,1,118,1.6389,64,normal
768,0,0,111,1.5417,64,normal
769,0,0,110,1.5278,64,normal
770,0,0,117,1.625,64,back
771,0,0,109,1.5139,64,back
772,0,0,114,1.5833,64,back
773,0,0,126,1.75,64,back
774,0,1,99,1.375,64,back
775,1,1,114,1.5833,64,back
776,1,1,96,1.3333,64,back
777,1,1,118,1.6389,64,normal
778,1,1,120,1.6667,64,normal
779,0,1,122,1.6944,64,normal
780,1,1,108,1.5,64,normal
781,1,1,111,1.5417,64,normal
782,0,1,116,1.6111,64,normal
783,1,1,119,1.6528,64,normal
784,0,1,98,1.3611,64,neptune
785,0,1,108,1.5,64,neptune
786,1,1,122,1.6944,64,neptune
787,0,1,114,1.5833,64,neptune
788,0,1,114,1.5833,64,neptune
789,1,1,124,1.7222,64,neptune
790,0,1,113,1.5694,64,neptune
791,0,1,121,1.6806,64,smurf
792,0,0,108,1.5,64,smurf
793,0,0,122,1.6944,64,smurf
794,0,0,114,1.5833,64,smurf
795,0,0,117,1.625,64,smurf
796,0,0,124,1.7222,64,smurf
797,0,0,120,1.6667,64,smurf
798,0,1,111,1.5417,64,mscan
799,0,1,105,1.4583,64,mscan
800,0,1,97,1.3472,64,mscan
801,0,1,103,1.4306,64,mscan
802,0,1,123,1.7083,64,mscan
803,0,1,110,1.5278,64,mscan
804,1,0,102,1.4167,64,mscan
805,1,0,98,1.3611,64,normal
806,1,0,113,1.5694,64,normal
807,0,0,111,1.5417,64,normal
808,1,0,118,1.6389,64,normal
809,0,0,116,1.6111,64,normal
810,0,1,122,1.6944,64,normal
811,0,1,113,1.5694,64,normal
812,0,1,114,1.5833,64,guess_passwd
813,0,1,121,1.6806,64,guess_passwd
814,0,1,124,1.7222,64,guess_passwd
815,0,1,107,1.4861,64,guess_passwd
816,1,1,111,1.5417,64,guess_passwd
817,1,1,106,1.4722,64,guess_passwd
818,1,1,109,1.5139,64,guess_passwd
819,1,1,105,1.4583,64,mscan
820,1,1,96,1.3333,64,mscan
821,1,1,115,1.5972,64,mscan
822,0,1,115,1.5972,64,mscan
823,0,1,111,1.5417,64,mscan
824,0,1,119,1.6528,64,mscan
825,0,1,100,1.3889,64,mscan
826,0,1,123,1.7083,64,neptune
827,0,1,109,1.5139,64,neptune
828,0,0,113,1.5694,64,neptune
829,0,0,124,1.7222,64,neptune
830,0,0,118,1.6389,64,neptune
831,0,0,121,1.6806,64,neptune
832,0,0,102,1.4167,64,neptune
833,0,0,102,1.4167,64,normal
834,0,0,105,1.4583,64,normal
835,0,0,119,1.6528,64,normal
836,0,0,118,1.6389,64,normal
837,1,0,124,1.7222,64,normal
838,0,0,104,1.4444,64,normal
839,0,0,113,1.5694,64,normal
840,1,1,121,1.6806,64,normal
841,1,1,115,1.5972,64,normal
842,0,1,111,1.5417,64,normal
843,0,1,117,1.625,64,normal
844,1,1,123,1.7083,64,normal
845,0,1,120,1.6667,64,normal
846,0,0,109,1.5139,64,normal
847,1,0,120,1.6667,64,normal
848,1,0,114,1.5833,64,normal
849,0,0,110,1.5278,64,normal
850,0,0,114,1.5833,64,normal
851,0,0,117,1.625,64,normal
852,1,1,105,1.4583,64,normal
853,1,1,106,1.4722,64,normal
854,1,1,98,1.3611,64,neptune
855,1,1,104,1.4444,64,neptune
856,1,1,118,1.6389,64,neptune
857,0,1,124,1.7222,64,neptune
858,0,0,117,1.625,64,neptune
859,0,0,111,1.5417,64,neptune
860,0,0,117,1.625,64,neptune
861,0,0,110,1.5278,64,normal
862,1,0,112,1.5556,64,normal
863,0,0,124,1.7222,64,normal
864,1,1,113,1.5694,64,normal
865,1,1,109,1.5139,64,normal
866,1,1,107,1.4861,64,normal
867,1,1,123,1.7083,64,normal
868,1,1,103,1.4306,64,snmpguess
869,0,1,107,1.4861,64,snmpguess
870,0,1,118,1.6389,64,snmpguess
871,1,1,119,1.6528,64,snmpguess
872,0,1,111,1.5417,64,snmpguess
873,0,1,112,1.5556,64,snmpguess
874,0,1,100,1.3889,64,snmpguess
875,0,1,121,1.6806,64,normal
876,1,1,101,1.4028,64,normal
877,0,1,110,1.5278,64,normal
878,1,1,121,1.6806,64,normal
879,1,1,118,1.6389,64,normal
880,0,1,125,1.7361,64,normal
881,0,1,115,1.5972,64,normal
882,0,0,112,1.5556,64,normal
883,0,0,99,1.375,64,normal
884,0,0,117,1.625,64,normal
885,0,0,117,1.625,64,normal
886,0,0,102,1.4167,64,normal
887,0,0,113,1.5694,64,normal
888,1,1,130,1.8056,64,normal
889,0,1,115,1.5972,64,warezmaster
890,1,1,101,1.4028,64,warezmaster
891,1,1,113,1.5694,64,warezmaster
892,0,1,120,1.6667,64,warezmaster
893,0,1,111,1.5417,64,warezmaster
894,0,0,95,1.3194,64,warezmaster
895,1,0,112,1.5556,64,warezmaster
896,1,0,118,1.6389,64,normal
897,0,0,111,1.5417,64,normal
898,0,0,120,1.6667,64,normal
899,0,0,105,1.4583,64,normal
900,0,0,114,1.5833,64,normal
901,0,0,108,1.5,64,normal
902,0,0,107,1.4861,64,normal
903,0,0,113,1.5694,64,neptune
904,0,0,96,1.3333,64,neptune
905,0,0,94,1.3056,64,neptune
906,0,0,106,1.4722,64,neptune
907,0,0,116,1.6111,64,neptune
908,0,0,115,1.5972,64,neptune
909,0,0,127,1.7639,64,neptune
910,0,0,110,1.5278,64,mscan
911,0,0,115,1.5972,64,mscan
912,1,1,116,1.6111,64,mscan
913,0,1,110,1.5278,64,mscan
914,0,1,128,1.7778,64,mscan
915,1,1,116,1.6111,64,mscan
916,0,1,123,1.7083,64,mscan
917,0,1,98,1.3611,64,mscan
918,0,0,118,1.6389,64,mscan
919,1,0,102,1.4167,64,mscan
920,1,0,111,1.5417,64,mscan
921,0,0,114,1.5833,64,mscan
922,0,0,104,1.4444,64,mscan
923,0,0,116,1.6111,64,mscan
924,1,1,112,1.5556,64,normal
925,1,1,105,1.4583,64,normal
926,1,1,114,1.5833,64,normal
927,1,1,113,1.5694,64,normal
928,0,1,114,1.5833,64,normal
929,1,1,116,1.6111,64,normal
930,1,1,102,1.4167,64,normal
931,1,1,111,1.5417,64,guess_passwd
932,1,1,112,1.5556,64,guess_passwd
933,1,1,104,1.4444,64,guess_passwd
934,0,1,109,1.5139,64,guess_passwd
935,1,1,123,1.7083,64,guess_passwd
936,0,0,121,1.6806,64,guess_passwd
937,0,0,116,1.6111,64,guess_passwd
938,1,0,113,1.5694,64,normal
939,0,0,126,1.75,64,normal
940,1,0,117,1.625,64,normal
941,0,0,102,1.4167,64,normal
942,0,0,118,1.6389,64,normal
943,0,0,115,1.5972,64,normal
944,0,0,112,1.5556,64,normal
945,0,0,111,1.5417,64,xsnoop
946,0,0,111,1.5417,64,xsnoop
947,0,0,125,1.7361,64,xsnoop
948,0,0,96,1.3333,64,xsnoop
949,0,0,110,1.5278,64,xsnoop
950,0,0,107,1.4861,64,xsnoop
951,0,0,111,1.5417,64,xsnoop
952,0,0,126,1.75,64,neptune
953,0,0,116,1.6111,64,neptune
954,0,1,113,1.5694,64,neptune
955,1,1,121,1.6806,64,neptune
956,0,1,106,1.4722,64,neptune
957,1,1,122,1.6944,64,neptune
958,0,1,100,1.3889,64,neptune
959,0,1,105,1.4583,64,mailbomb
960,0,0,118,1.6389,64,mailbomb
961,1,0,102,1.4167,64,mailbomb
962,1,0,114,1.5833,64,mailbomb
963,0,0,120,1.6667,64,mailbomb
964,0,0,119,1.6528,64,mailbomb
965,0,0,106,1.4722,64,mailbomb
966,1,1,109,1.5139,64,normal
967,1,1,126,1.75,64,normal
968,1,1,111,1.5417,64,normal
969,1,1,114,1.5833,64,normal
970,1,1,117,1.625,64,normal
971,1,1,121,1.6806,64,normal
972,1,1,123,1.7083,64,normal
973,1,1,115,1.5972,64,normal
974,0,1,128,1.7778,64,normal
975,1,1,117,1.625,64,normal
976,0,1,112,1.5556,64,normal
977,0,1,114,1.5833,64,normal
978,1,0,113,1.5694,64,normal
979,1,0,107,1.4861,64,normal
980,0,0,120,1.6667,64,smurf
981,0,0,111,1.5417,64,smurf
982,1,0,116,1.6111,64,smurf
983,0,0,110,1.5278,64,smurf
984,1,1,99,1.375,64,smurf
985,1,1,112,1.5556,64,smurf
986,1,1,109,1.5139,64,smurf
987,1,1,123,1.7083,64,normal
988,1,1,118,1.6389,64,normal
989,1,1,120,1.6667,64,normal
990,1,1,131,1.8194,64,normal
991,1,1,117,1.625,64,normal
992,0,1,118,1.6389,64,normal
993,1,1,107,1.4861,64,normal
994,0,1,119,1.6528,64,neptune
995,1,1,114,1.5833,64,neptune
996,0,1,113,1.5694,64,neptune
997,1,1,110,1.5278,64,neptune
998,1,1,114,1.5833,64,neptune
999,1,1,120,1.6667,64,neptune
